ordernumber,orderdate,year,month,month_name,country,territory,productline,dealsize,quantityordered,priceeach,sales,calc_sales,sales_valid
10110,2003-03-18,2003,3,Mar,Uk,Emea,Vintage Cars,Small,20,35.51,710.2,710.1999999999999,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Classic Cars,Small,29,59.37,1721.73,1721.73,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Classic Cars,Medium,36,85.25,3069.0,3069.0,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Vintage Cars,Small,28,89.27,2499.56,2499.56,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Classic Cars,Small,42,61.29,2574.18,2574.18,True
10110,2003-03-18,2003,3,Mar,Uk,Emea,Vintage Cars,Small,48,34.47,1654.56,1654.56,True
10111,2003-03-25,2003,3,Mar,Usa,Unknown,Vintage Cars,Small,26,86.68,2253.68,2253.68,True
10111,2003-03-25,2003,3,Mar,Usa,Unknown,Vintage Cars,Small,28,64.33,1801.24,1801.24,True
10111,2003-03-25,2003,3,Mar,Usa,Unknown,Vintage Cars,Small,48,49.06,2354.88,2354.88,True
10111,2003-03-25,2003,3,Mar,Usa,Unknown,Vintage Cars,Medium,33,99.66,3288.78,3288.78,True
10113,2003-03-26,2003,3,Mar,Usa,Unknown,Vintage Cars,Small,50,49.81,2490.5,2490.5,True
10113,2003-03-26,2003,3,Mar,Usa,Unknown,Trucks And Buses,Small,23,68.52,1575.96,1575.96,True
10114,2003-04-01,2003,4,Apr,France,Emea,Trucks And Buses,Small,28,55.73,1560.44,1560.44,True
10114,2003-04-01,2003,4,Apr,France,Emea,Classic Cars,Small,24,30.06,721.44,721.4399999999999,True
10114,2003-04-01,2003,4,Apr,France,Emea,Trucks And Buses,Medium,45,68.67,3090.15,3090.15,True
10115,2003-04-04,2003,4,Apr,Usa,Unknown,Classic Cars,Medium,47,69.36,3259.92,3259.92,True
10116,2003-04-11,2003,4,Apr,Belgium,Emea,Trains,Small,27,63.38,1711.26,1711.26,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Ships,Medium,38,79.68,3027.84,3027.84,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Ships,Medium,45,83.42,3753.9,3753.9,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Ships,Small,50,43.68,2184.0,2184.0,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Trains,Small,21,95.8,2011.8,2011.8,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Trains,Small,21,49.21,1033.41,1033.41,True
10117,2003-04-16,2003,4,Apr,Singapore,Japan,Vintage Cars,Small,23,97.42,2240.66,2240.66,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Vintage Cars,Medium,35,90.57,3169.95,3169.95,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Planes,Small,28,70.29,1968.12,1968.12,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Vintage Cars,Medium,35,87.62,3066.7,3066.7,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Ships,Small,25,76.67,1916.75,1916.75,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Ships,Small,38,65.77,2499.26,2499.26,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Vintage Cars,Small,20,72.98,1459.6,1459.6,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Ships,Small,29,94.14,2730.06,2730.06,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Planes,Small,41,59.6,2443.6,2443.6,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Ships,Small,21,89.46,1878.66,1878.66,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Planes,Small,26,59.22,1539.72,1539.72,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Planes,Small,28,48.17,1348.76,1348.76,True
10119,2003-04-28,2003,4,Apr,Austria,Emea,Vintage Cars,Small,27,99.52,2687.04,2687.04,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Planes,Small,29,71.81,2082.49,2082.49,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Vintage Cars,Small,49,50.62,2480.38,2480.38,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Motorcycles,Small,46,58.15,2674.9,2674.9,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Motorcycles,Small,29,96.34,2793.86,2793.86,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Vintage Cars,Small,29,72.23,2094.67,2094.67,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Planes,Small,29,85.49,2479.21,2479.21,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Planes,Medium,47,82.21,3863.87,3863.87,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Motorcycles,Medium,35,98.05,3431.75,3431.75,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Motorcycles,Small,34,83.79,2848.86,2848.86,True
10120,2003-04-29,2003,4,Apr,Australia,Apac,Planes,Medium,43,76.0,3268.0,3268.0,True
10121,2003-05-07,2003,5,May,France,Emea,Motorcycles,Small,32,76.88,2460.16,2460.16,True
10121,2003-05-07,2003,5,May,France,Emea,Motorcycles,Medium,44,74.85,3293.4,3293.4,True
10121,2003-05-07,2003,5,May,France,Emea,Motorcycles,Small,34,81.35,2765.9,2765.9,True
10121,2003-05-07,2003,5,May,France,Emea,Motorcycles,Small,25,86.74,2168.5,2168.5,True
10122,2003-05-08,2003,5,May,France,Emea,Motorcycles,Small,31,44.66,1384.46,1384.46,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Small,34,50.21,1707.14,1707.14,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Small,39,30.96,1207.44,1207.44,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Medium,43,72.38,3112.34,3112.34,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Small,21,73.17,1536.57,1536.57,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Small,29,71.14,2063.06,2063.06,True
10122,2003-05-08,2003,5,May,France,Emea,Motorcycles,Small,35,49.74,1740.9,1740.9,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Small,32,63.84,2042.88,2042.88,True
10122,2003-05-08,2003,5,May,France,Emea,Classic Cars,Medium,37,99.82,3693.34,3693.34,True
10123,2003-05-20,2003,5,May,France,Emea,Classic Cars,Small,50,59.87,2993.5,2993.5,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Classic Cars,Small,25,93.95,2348.75,2348.75,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Classic Cars,Small,22,77.9,1713.8,1713.8,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Vintage Cars,Small,46,33.23,1528.58,1528.58,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Vintage Cars,Small,22,45.25,995.5,995.5,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Vintage Cars,Medium,36,85.59,3081.24,3081.24,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Vintage Cars,Small,45,37.84,1702.8,1702.8,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Classic Cars,Small,32,72.7,2326.4,2326.4,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Vintage Cars,Small,42,53.88,2262.96,2262.96,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Classic Cars,Small,23,57.73,1327.79,1327.79,True
10124,2003-05-21,2003,5,May,Usa,Unknown,Classic Cars,Medium,49,83.04,4068.96,4068.960000000001,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Medium,46,73.7,3390.2,3390.2,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Small,43,53.83,2314.69,2314.69,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Medium,38,82.34,3128.92,3128.92,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Small,30,97.39,2921.7,2921.7,True
10126,2003-05-28,2003,5,May,Spain,Emea,Trucks And Buses,Medium,43,96.31,4141.33,4141.33,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Small,42,54.99,2309.58,2309.58,True
10126,2003-05-28,2003,5,May,Spain,Emea,Trucks And Buses,Small,43,65.02,2795.86,2795.86,True
10126,2003-05-28,2003,5,May,Spain,Emea,Trucks And Buses,Small,26,62.7,1630.2,1630.2,True
10126,2003-05-28,2003,5,May,Spain,Emea,Vintage Cars,Small,31,90.17,2795.27,2795.27,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Classic Cars,Small,20,96.99,1939.8,1939.8,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Classic Cars,Small,20,60.69,1213.8,1213.8,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Trains,Medium,46,69.12,3179.52,3179.52,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Trucks And Buses,Small,45,51.95,2337.75,2337.75,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Trains,Small,29,70.84,2054.36,2054.36,True
10127,2003-06-03,2003,6,Jun,Usa,Unknown,Classic Cars,Small,39,38.19,1489.41,1489.41,True
10128,2003-06-06,2003,6,Jun,Spain,Emea,Vintage Cars,Medium,43,92.16,3962.88,3962.88,True
10128,2003-06-06,2003,6,Jun,Spain,Emea,Ships,Medium,32,97.0,3104.0,3104.0,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Ships,Small,30,85.41,2562.3,2562.3,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Ships,Medium,42,91.15,3828.3,3828.3,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Ships,Small,32,64.97,2079.04,2079.04,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Ships,Medium,45,85.29,3838.05,3838.05,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Vintage Cars,Medium,41,94.71,3883.11,3883.11,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Ships,Small,31,60.0,1860.0,1860.0,True
10129,2003-06-12,2003,6,Jun,Uk,Emea,Vintage Cars,Medium,50,77.99,3899.5,3899.5,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Planes,Small,35,67.14,2349.9,2349.9,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Planes,Medium,50,81.89,4094.5,4094.5,True
10130,2003-06-16,2003,6,Jun,Usa,Unknown,Ships,Medium,40,96.34,3853.6,3853.6,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Planes,Small,21,41.71,875.91,875.91,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Vintage Cars,Small,29,59.18,1716.22,1716.22,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Ships,Small,22,85.99,1891.78,1891.78,True
10131,2003-06-16,2003,6,Jun,Usa,Unknown,Planes,Small,26,85.13,2213.38,2213.38,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Planes,Small,24,77.64,1863.36,1863.36,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Planes,Medium,46,77.52,3565.92,3565.92,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Planes,Medium,41,94.1,3858.1,3858.1,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Vintage Cars,Small,49,57.1,2797.9,2797.9,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Vintage Cars,Small,27,50.19,1355.13,1355.13,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Planes,Medium,49,69.27,3394.23,3394.23,True
10133,2003-06-27,2003,6,Jun,Spain,Emea,Planes,Small,27,99.67,2691.09,2691.09,True
10134,2003-07-01,2003,7,Jul,France,Emea,Motorcycles,Medium,35,93.54,3273.9,3273.9,True
10134,2003-07-01,2003,7,Jul,France,Emea,Motorcycles,Medium,41,94.74,3884.34,3884.34,True
10134,2003-07-01,2003,7,Jul,France,Emea,Motorcycles,Medium,43,83.03,3570.29,3570.29,True
10134,2003-07-01,2003,7,Jul,France,Emea,Motorcycles,Small,30,61.78,1853.4,1853.4,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Small,27,66.13,1785.51,1785.51,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Small,20,35.87,717.4,717.4,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Medium,48,79.31,3806.88,3806.88,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Motorcycles,Small,30,89.8,2694.0,2694.0,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Motorcycles,Small,29,61.64,1787.56,1787.56,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Medium,45,78.0,3510.0,3510.0,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Motorcycles,Small,45,50.36,2266.2,2266.2,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Motorcycles,Medium,44,96.0,4224.0,4224.0,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Small,23,87.31,2008.13,2008.13,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Small,29,97.89,2838.81,2838.81,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Motorcycles,Small,33,40.23,1327.59,1327.59,True
10135,2003-07-02,2003,7,Jul,Usa,Unknown,Classic Cars,Small,24,75.01,1800.24,1800.24,True
10137,2003-07-10,2003,7,Jul,France,Emea,Classic Cars,Medium,44,99.55,4380.2,4380.2,True
10137,2003-07-10,2003,7,Jul,France,Emea,Classic Cars,Small,26,49.81,1295.06,1295.06,True
10139,2003-07-16,2003,7,Jul,Australia,Apac,Vintage Cars,Small,20,71.2,1424.0,1424.0,True
10139,2003-07-16,2003,7,Jul,Australia,Apac,Vintage Cars,Small,20,90.06,1801.2,1801.2,True
10139,2003-07-16,2003,7,Jul,Australia,Apac,Vintage Cars,Small,49,43.13,2113.37,2113.37,True
10140,2003-07-24,2003,7,Jul,Usa,Unknown,Vintage Cars,Small,29,43.27,1254.83,1254.83,True
10140,2003-07-24,2003,7,Jul,Usa,Unknown,Trucks And Buses,Small,28,60.76,1701.28,1701.28,True
10140,2003-07-24,2003,7,Jul,Usa,Unknown,Trucks And Buses,Small,46,61.99,2851.54,2851.54,True
10141,2003-08-01,2003,8,Aug,Finland,Emea,Classic Cars,Small,21,42.43,891.03,891.03,True
10141,2003-08-01,2003,8,Aug,Finland,Emea,Classic Cars,Medium,40,94.62,3784.8,3784.8,True
10141,2003-08-01,2003,8,Aug,Finland,Emea,Classic Cars,Small,20,54.33,1086.6,1086.6,True
10141,2003-08-01,2003,8,Aug,Finland,Emea,Trucks And Buses,Small,24,45.99,1103.76,1103.76,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Trains,Medium,42,74.57,3131.94,3131.94,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Vintage Cars,Medium,49,98.25,4814.25,4814.25,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Vintage Cars,Small,24,70.22,1685.28,1685.28,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Ships,Medium,38,85.41,3245.58,3245.58,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Trains,Small,22,97.81,2151.82,2151.82,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Ships,Medium,43,84.01,3612.43,3612.43,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Ships,Small,39,44.23,1724.97,1724.97,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Ships,Small,41,64.0,2624.0,2624.0,True
10142,2003-08-08,2003,8,Aug,Usa,Unknown,Trains,Small,42,49.79,2091.18,2091.18,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Vintage Cars,Small,33,77.59,2560.47,2560.47,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,37,50.65,1874.05,1874.05,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,34,85.87,2919.58,2919.58,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,26,82.77,2152.02,2152.02,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Vintage Cars,Small,34,36.66,1246.44,1246.44,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Ships,Small,31,85.29,2643.99,2643.99,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,28,96.0,2688.0,2688.0,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,27,60.97,1646.19,1646.19,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Vintage Cars,Small,23,80.51,1851.73,1851.73,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Planes,Small,28,66.19,1853.32,1853.32,True
10143,2003-08-10,2003,8,Aug,Usa,Unknown,Ships,Medium,46,74.84,3442.64,3442.64,True
10144,2003-08-13,2003,8,Aug,Belgium,Emea,Vintage Cars,Small,20,81.86,1637.2,1637.2,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Medium,47,83.03,3902.41,3902.41,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Planes,Medium,40,87.54,3501.6,3501.6,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Small,31,35.8,1109.8,1109.8,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Medium,45,83.26,3746.7,3746.7,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Medium,33,93.9,3098.7,3098.7,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Small,27,60.95,1645.65,1645.65,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Planes,Small,33,84.77,2797.41,2797.41,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Medium,43,95.8,4119.4,4119.4,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Small,30,49.67,1490.1,1490.1,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Planes,Small,30,85.32,2559.6,2559.6,True
10145,2003-08-25,2003,8,Aug,Usa,Unknown,Motorcycles,Medium,38,81.36,3091.68,3091.68,True
10146,2003-09-03,2003,9,Sep,Usa,Unknown,Motorcycles,Medium,47,67.14,3155.58,3155.58,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Medium,33,97.89,3230.37,3230.37,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Medium,36,86.04,3097.44,3097.44,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Small,25,42.67,1066.75,1066.75,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Small,26,82.39,2142.14,2142.14,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Small,30,68.58,2057.4,2057.4,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Small,21,63.84,1340.64,1340.64,True
10147,2003-09-05,2003,9,Sep,Usa,Unknown,Classic Cars,Small,31,64.67,2004.77,2004.77,True
10148,2003-09-11,2003,9,Sep,Australia,Apac,Classic Cars,Small,29,81.25,2356.25,2356.25,True
10148,2003-09-11,2003,9,Sep,Australia,Apac,Classic Cars,Small,47,56.85,2671.95,2671.95,True
10148,2003-09-11,2003,9,Sep,Australia,Apac,Classic Cars,Small,25,60.26,1506.5,1506.5,True
10148,2003-09-11,2003,9,Sep,Australia,Apac,Classic Cars,Small,21,73.6,1545.6,1545.6,True
10148,2003-09-11,2003,9,Sep,Australia,Apac,Classic Cars,Small,31,73.62,2282.22,2282.22,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,26,38.98,1013.48,1013.48,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,20,90.57,1811.4,1811.4,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,30,58.22,1746.6,1746.6,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Medium,42,94.25,3958.5,3958.5,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,36,33.19,1194.84,1194.84,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,49,49.28,2414.72,2414.72,True
10149,2003-09-12,2003,9,Sep,Usa,Unknown,Vintage Cars,Small,24,62.36,1496.64,1496.64,True
10150,2003-09-19,2003,9,Sep,Singapore,Japan,Trucks And Buses,Small,49,58.18,2850.82,2850.82,True
10150,2003-09-19,2003,9,Sep,Singapore,Japan,Vintage Cars,Small,30,49.97,1499.1,1499.1,True
10150,2003-09-19,2003,9,Sep,Singapore,Japan,Vintage Cars,Medium,47,91.18,4285.46,4285.46,True
10150,2003-09-19,2003,9,Sep,Singapore,Japan,Vintage Cars,Small,30,42.76,1282.8,1282.8,True
10151,2003-09-21,2003,9,Sep,Finland,Emea,Classic Cars,Small,30,40.31,1209.3,1209.3,True
10151,2003-09-21,2003,9,Sep,Finland,Emea,Trucks And Buses,Small,39,69.28,2701.92,2701.92,True
10151,2003-09-21,2003,9,Sep,Finland,Emea,Trucks And Buses,Small,41,63.85,2617.85,2617.85,True
10152,2003-09-25,2003,9,Sep,Australia,Apac,Trains,Small,33,50.95,1681.35,1681.35,True
10152,2003-09-25,2003,9,Sep,Australia,Apac,Classic Cars,Small,25,65.31,1632.75,1632.75,True
10153,2003-09-28,2003,9,Sep,Spain,Emea,Trains,Small,29,88.74,2573.46,2573.46,True
